epoch,d_loss,g_loss,D(x),D(G(z))
1,0.2434244155883789,5.926416873931885,0.9055385589599609,0.04553695023059845
2,0.19735437631607056,3.3200840950012207,0.9133568406105042,0.08595713973045349
3,0.44266337156295776,3.0848145484924316,0.8142510652542114,0.09258226305246353
4,0.6699562668800354,2.4979028701782227,0.7307324409484863,0.11582309007644653
5,0.5220897197723389,2.1654844284057617,0.8049182891845703,0.17524342238903046
6,0.4736911356449127,2.0582737922668457,0.8381085395812988,0.22155916690826416
7,1.1559795141220093,1.3098680973052979,0.7423363327980042,0.41134971380233765
8,0.9628379940986633,1.3781603574752808,0.7051419615745544,0.3161744475364685
9,1.1260969638824463,1.1306761503219604,0.6451854705810547,0.4072306156158447
10,1.0666683912277222,1.486780047416687,0.5892998576164246,0.277850478887558
11,1.3805370330810547,0.8835498690605164,0.6242986917495728,0.5076741576194763
12,1.144232988357544,1.0547363758087158,0.5389959812164307,0.35653427243232727
13,1.1771800518035889,1.157961130142212,0.5801158547401428,0.363179475069046
14,1.3351917266845703,0.9101412296295166,0.5049145817756653,0.4193487763404846
15,1.126724123954773,1.2645267248153687,0.5823289752006531,0.3580699563026428
16,1.3546226024627686,0.9110220670700073,0.5401235222816467,0.44026005268096924
17,1.540905237197876,0.7349661588668823,0.5100539922714233,0.5218505859375
18,1.0552303791046143,1.060686707496643,0.6215022206306458,0.40266111493110657
19,0.9366498589515686,1.2775506973266602,0.6525084972381592,0.35375088453292847
20,1.226173996925354,0.9128865599632263,0.5355858206748962,0.4127255380153656
21,1.015555500984192,1.1126384735107422,0.6549182534217834,0.3895091116428375
22,1.1819536685943604,0.9637606143951416,0.6046427488327026,0.43330439925193787
23,1.2260557413101196,1.1656357049942017,0.5463058948516846,0.3761371076107025
24,1.2855253219604492,0.9380067586898804,0.5865569114685059,0.4389978051185608
25,1.0115902423858643,0.9446926712989807,0.7626975178718567,0.4716828465461731
26,1.425096035003662,1.3360458612442017,0.5630884766578674,0.4128454327583313
27,1.2572462558746338,0.8450428247451782,0.5952553153038025,0.455147385597229
28,1.301515817642212,0.7075625061988831,0.5861993432044983,0.5148873329162598
29,1.3377224206924438,0.9196211099624634,0.5209077000617981,0.4497607350349426
30,1.3140507936477661,0.9081422090530396,0.59035325050354,0.4810863137245178
31,1.3528019189834595,0.7455241680145264,0.5564736127853394,0.499625563621521
32,1.1378059387207031,1.398094654083252,0.560050368309021,0.3208891749382019
33,1.2346222400665283,0.9448055624961853,0.5259877443313599,0.41062211990356445
34,1.4834659099578857,1.040970802307129,0.4701012074947357,0.3879351019859314
35,1.5319323539733887,0.7555180191993713,0.47535985708236694,0.4925832152366638
36,1.2679696083068848,0.8634575605392456,0.5316723585128784,0.4419434666633606
37,1.1711400747299194,1.0647469758987427,0.5923535823822021,0.41144052147865295
38,1.3772958517074585,0.8156383037567139,0.5399235486984253,0.4908692240715027
39,1.2526812553405762,1.0887844562530518,0.5584330558776855,0.4025503993034363
40,1.3829023838043213,0.742071807384491,0.5254145860671997,0.4983648359775543
41,1.141486406326294,1.1484813690185547,0.6058343648910522,0.4014376997947693
42,1.0153664350509644,1.1045422554016113,0.6287839412689209,0.37569209933280945
43,1.0528311729431152,1.3429958820343018,0.5794961452484131,0.33651500940322876
44,1.0878045558929443,1.07192862033844,0.5700497627258301,0.37230250239372253
45,1.2957279682159424,0.9690259695053101,0.507656455039978,0.3909420967102051
46,1.2302734851837158,0.9336509704589844,0.6081864833831787,0.46492618322372437
47,1.0542590618133545,0.980555534362793,0.6406744718551636,0.4205266833305359
48,1.324406385421753,0.7056918144226074,0.5763921737670898,0.5122456550598145
49,1.1484304666519165,1.0314596891403198,0.577988862991333,0.39893537759780884
50,1.3273990154266357,0.8126620054244995,0.508258044719696,0.46084147691726685
